wrestler_id,wname,highest_rank,dob
6012,Dewaotori,J10w,1985-11-22
247,Oga,J6e,1977-10-22
1031,Ryuo,M8w,1983-03-11
6473,Tochiozan,S,1987-03-09
6468,Goeido,O,1986-04-06
1011,Hakuba,K,1983-05-05
6527,Wakanoho,M1w,1988-07-08
1106,Koryu,M11w,1984-02-04
6467,Toyohibiki,M2e,1984-11-16
5977,Takamifuji,J13e,1980-05-15
6620,Sakaizawa,M15w,1983-04-11
813,Kitataiki,M2e,1982-10-05
1104,Hoshihikari,J1w,1984-07-25
6766,Kiyoseumi,M13w,1984-08-16
6034,Sagatsukasa,M9w,1981-12-21
296,Yoshiazuma,M12e,1977-05-26
6010,Kimurayama,M7w,1981-07-13
6599,Tochinoshin,O,1987-10-13
929,Kirinowaka,J4w,1983-09-18
5944,Tamawashi,S,1984-11-16
900,Wakakoyu,K,1984-02-24
1127,Hokutokuni,J6e,1985-06-07
7115,Tosayutaka,M1e,1985-03-10
1152,Daiyubu,J10e,1983-03-30
6771,Aran,S,1984-01-31
6769,Yamamotoyama,M9w,1984-05-08
511,Yotsuguruma,J8w,1980-07-24
1141,Shotenro,M2e,1982-01-31
7138,Daishoumi,J10e,1984-04-21
365,Kotokuni,J4w,1978-07-10
6463,Okinoumi,S,1985-07-29
2930,Tokusegawa,M1w,1983-08-06
662,Kotoyutaka,J5w,1981-06-17
6552,Sotairyu,M15w,1982-07-26
2831,Hoshikaze,J3e,1983-12-15
7121,Tokushinho,J6w,1984-05-13
6572,Gagamaru,K,1987-02-23
4980,Sokokurai,M2e,1984-01-09
11784,Myogiryu,S,1986-10-22
2842,Sadanofuji,M2w,1984-12-25
6042,Masuraumi,J5w,1988-10-15
6497,Daido,M8e,1982-08-21
6614,Shohozan,K,1984-02-09
6753,Kaisei,S,1986-12-18
2879,Sadanoumi,M1w,1987-05-11
2835,Shironoryu,J1w,1983-09-07
2820,Nakanokuni,J12e,1983-09-17
11728,Takarafuji,S,1987-02-18
6767,Tochinowaka,M1w,1988-04-06
6480,Takayasu,O,1990-02-28
6654,Masunoyama,M4w,1990-11-01
8900,Akiseyama,M16e,1985-07-18
1134,Tsurugidake,M16w,1979-02-07
1266,Nionoumi,M16w,1986-12-16
2851,Fujiazuma,M4w,1987-04-19
11786,Aoiyama,S,1986-06-19
1215,Takanoyama,M12w,1983-02-21
1190,Kaonishiki,J6w,1978-09-14
6770,Tenkaiho,M8w,1984-10-14
6642,Chiyonokuni,M1e,1990-07-10
1054,Hitenryu,J13e,1984-06-16
2832,Arawashi,M2w,1986-08-21
11729,Kimikaze,M13w,1986-09-23
7239,Kyokushuho,M4e,1988-08-09
11850,Chiyozakura,J11e,1987-09-17
7109,Chiyoarashi,J10e,1991-07-12
9079,Kotoyuki,S,1991-04-02
6512,Hishofuji,J13e,1989-07-14
11726,Tokushoryu,M2w,1986-08-22
6531,Asahisho,M11e,1989-07-21
6491,Ikioi,S,1986-10-11
1405,Amuru,M5e,1983-08-25
1241,Kitaharima,M15e,1986-07-28
11934,Chiyotairyu,K,1988-11-14
8904,Homarefuji,M6w,1985-05-06
6928,Chiyootori,K,1992-10-11
1137,Sensho,J14e,1983-10-14
6622,Masakaze,J12e,1983-04-28
11971,Jokoryu,K,1988-08-07
1097,Oniarashi,J7w,1982-06-13
11724,Takanoiwa,M2w,1990-02-26
11989,Yamaguchi,M16w,1989-05-13
8903,Keitenkai,J11e,1990-03-10
7125,Tanzo,J6w,1984-05-05
6594,Ryuden,K,1990-11-10
11723,Azumaryu,M14e,1987-05-12
2929,Kagamio,M9w,1988-02-09
6600,Tochihiryu,J7w,1987-04-23
9077,Kizenryu,J11e,1985-04-30
11840,Chiyonoo,M15e,1991-05-29
6559,Seiro,M14w,1988-08-18
11987,Osunaarashi,M1w,1992-02-10
12055,Endo,K,1990-10-19
940,Kotomisen,J12w,1983-07-14
11927,Terunofuji,O,1991-11-29
7240,Chiyomaru,M5e,1991-04-17
8154,Higonojo,J9w,1984-11-05
2909,Sakigake,J10e,1986-04-05
12107,Ichinojo,S,1993-04-07
11985,Daieisho,K,1993-11-10
6013,Dewahayate,J9e,1989-01-31
11845,Kagayaki,M4w,1994-06-01
12043,Onosho,K,1996-07-04
12094,Abi,K,1994-05-04
7143,Amakaze,M13e,1991-07-07
12051,Ishiura,M8w,1990-01-10
12144,Daishomaru,M5e,1991-07-10
6596,Nishikigi,M2e,1990-08-25
12210,Mitakeumi,S,1992-12-25
12140,Takaryu,J13w,1992-03-18
12130,Shodai,S,1991-11-05
7127,Asabenkei,J7w,1989-02-12
12113,Tsurugisho,M7e,1991-07-27
11785,Chiyoshoma,M2w,1991-07-20
12191,Takakeisho,O,1996-08-05
12226,Ura,M4e,1992-06-22
12239,Hokutofuji,K,1992-07-15
12024,Shimanoumi,M6w,1989-07-11
12040,Daishoho,M9w,1994-08-28
12292,Yutakayama,M2e,1993-09-22
11946,Meisei,M2w,1995-07-24
11947,Rikishin,J10e,1995-10-07
11868,Terutsuyoshi,M9e,1995-01-17
12273,Daiamami,M11e,1992-12-15
12291,Asanoyama,S,1994-03-01
12077,Takagenji,M10w,1997-05-13
12203,Tobizaru,J4e,1992-04-24
12425,Yago,M10w,1994-07-08
11972,Daiseido,J12w,1992-12-30
11855,Takanosho,M9e,1994-11-14
12406,Mitoryu,J4w,1994-04-25
11918,Akua,J6w,1990-11-06
12076,Takanofuji,J5w,1997-05-13
12412,Enho,M4e,1994-10-18
11943,Hakuyozan,J3e,1995-04-13
12370,Wakatakakage,M16e,1994-12-06
12255,Chiyonoumi,J8w,1993-01-11
12320,Churanoumi,J7w,1993-05-06
12015,Gokushindo,J13w,1996-06-06
12427,Tomokaze,M3w,1994-12-02
11980,Wakamotoharu,J10w,1993-10-05
12231,Kiribayama,M8w,1996-04-24
7111,Irodori,J11w,1992-03-10
12367,Ryuko,J12w,1998-06-23
12362,Ichiyamamoto,J6w,1993-10-01
12470,Kizakiumi,J3w,1995-05-05
12270,Kotonowaka,M18e,1997-11-19
12285,Asagyokusei,J12e,1993-05-29
12075,Kaisho,J11e,1995-01-28
12449,Kotoshoho,J6e,1999-08-26
12451,Hoshoryu,J9w,1999-05-22
12352,Midorifuji,J11w,1996-08-30
